便塊除去	摘便
クロール低下	クロール減少
シャント閉塞症	シャント閉塞
ＯＰＥ人工骨	人工骨挿入
宿便症	宿便
消退出血の欠落	無消退出血
閉塞性優位睡眠時無呼吸症候群	閉塞性睡眠時無呼吸症候群
左口唇のしびれ	口唇のしびれ感
ペースメーカー移植後（Ｍｏｂｉｔｚ-ＩＩ型ＩＩ度房室ブロックによる）	モービッツ２型第二度房室ブロック
視力低下（左眼）	視力低下
ＡＬＴの上昇	ＡＬＴ増加
両側肘関節痛	肘部痛
左上腕打撲	上腕の挫傷
痛風の炎症	痛風
甲状腺良性腫瘍：経過観察	甲状腺の良性新生物
脱毛（髪の毛）	脱毛症
肺性心、肺高血圧症	無し
ウイルス性心炎	心感染
糖尿病性腎症（Ⅱ）期）	糖尿病性腎症
ｉ－ＰＴＨ↑３７０	ＰＴＨ増加
房室ブロックペースメーカー後	房室ブロック
肝カルチノイドΦ１５ｃｍに対し左葉三区域切除肝外胆管切除後	カルチノイド腫瘍
右大腿癌	癌
多形紅班	多形紅斑
ＩＵＤの糸が短すぎる	医療機器の問題
消化器:自己免疫性膵炎	自己免疫性膵炎
右足関節褥瘡	褥瘡
四肢のしびれ	四肢のしびれ感
ＣＫ値の上昇	ＣＫ増加
2錠服用忘れ	投薬欠落
創部出血	創傷出血
アミオダロンによる薬剤性甲状腺機能低下	甲状腺機能低下
一過性歩行障害	歩行障害
女性に髭が生えた	男性型多毛症
皮フ症状【手足症候群】	手足症候群
左そけいヘルニア	左側鼡径ヘルニア
薬剤性肺炎	肺炎
腎内結石	腎結石
多形紅斑形薬疹	多形紅斑様皮疹
けん怠感	倦怠感
手足むくみ	四肢浮腫
Β型肝炎	Ｂ型肝炎
湿疹悪化（鼻）	湿疹増悪
Ｂ型インフルエンザ	Ｂ型インフルエンザウイルス感染
胃出血（胃粘膜から滲出性に出血）	胃出血
非中枢神経系塞栓症（四肢動脈）	四肢動脈塞栓症
皮疹（腰、足）	皮疹
右外反母趾	外反母趾
左甲状腺腫瘍にて甲状腺左葉切除	甲状腺腫瘍
猫爪創	ネコ引っかき傷
狭心症の増悪の疑い	狭心症増悪
リード抜去後のリード挿入部からの出血	処置後出血
皮フの乾燥	皮膚乾燥
低血圧症	低血圧
甲状腺機能低下症の増悪	甲状腺機能低下症
不定愁訴（全身倦怠）	全身倦怠
右結膜炎	結膜炎
尿毒症性皮膚掻痒症	尿毒症性そう痒症
感冒（自己判断）	感冒
Ｙグラフト置換術	大動脈人工血管代替
右第五趾疼痛	足指痛
良性脳腫瘍（切除後）	脳良性新生物
検査後出血	処置後出血
クレアチニン0.8MG/ｄｌ増加	クレアチニン増加
下肢のかゆみ	下肢そう痒
下大静脈フィルター留置後（下大静脈血栓）	下大静脈血栓症
両側卵巣転移再発	卵巣転移
下痢、水様便	水性下痢
発疹(RASH)	発疹
口内苦味	苦味
認知症、HCV陽性、肺結核	無し
胃癌（手術）	胃癌
下痢（水様性）	水性下痢
治験薬服用忘れによる不正子宮出血	経口避妊薬服用後の消退出血
表在性点状角膜炎	点状表層角膜炎
ルリッシュ症候群	ルリーシュ症候群
発疹（肛門周囲）	肛門湿疹
子宮筋腫（子宮、卵巣右側摘出）	筋腫核出術
脾臓のう胞	脾嚢胞
傍中心窩脈絡膜新生血管を伴うAMD	無し
紅斑（左大腿部）	下肢発赤
胆石、胆のうポリープ疑い	無し
頭髪の抜け毛	毛髪脱落
声がだしずらい	発声困難
足腫脹	足部腫脹
紫斑（両下肢	紫斑
装着時の出血	処置による出血
シャント形成術後疼痛	術後痛
高血圧の治療	高血圧
円痔核	内痔核
ＩＮＲ上昇	ＩＮＲ増加
ドルーゼン沈着病変【網膜】	網膜ドルーゼン
２００５肝障害	肝障害
慢性じん麻疹	慢性蕁麻疹
アスピリンとクロピドグレルの相互作用	薬物相互作用
腎癌脳転移	無し
耳管閉塞感	耳閉感
陣機能障害	腎機能障害
Ｌ４後方辷り症	第４腰椎すべり症
ＩＶ部位の熱	注射部位熱感
経血量が増えた	月経過多
右手首の痛み	手首の痛み
アスピリンとクロピドグレル内服による相互作用	薬物相互作用
凝固系検査値異常（ＰＴ活性値、プラスミノーゲン活性）	無し
心臓がドキドキする	動悸
ＣＲＰの変動（ＣＲＰ増加（１．３６等））	ＣＲＰ増加
網膜はくり（右眼）	網膜剥離
シャント血栓塞栓症	シャント血栓症
右大臼歯歯肉炎	歯肉炎
右口腔内擦過傷	擦過傷
下部消化管（直腸）潰瘍	直腸潰瘍
網膜下出血の再発	網膜下出血
頸部外傷	頚部損傷
虫垂炎切除術	虫垂炎
遠隔転移巣（頭蓋骨）	骨転移
点状表層角膜炎（右）	点状表層角膜炎
鉄欠乏性貧血の悪化	鉄欠乏性貧血
腎臓がん術後	腎癌
敗血症（会陰部軟部組織重症感染症）	無し
胆のう腺筋腫症	胆嚢腺筋症
ONEEYEのため	無し
左足関節痛、左手関節痛、肘関節痛	多発性関節痛
両下肢外果部の色素沈着	色素沈着
浮腫：顔面	顔面浮腫
上気道炎	上気道の炎症
ＨＦＳ（Ｇ１）	手足症候群
消化器:膵臓がん	膵癌
ALLERGIC RHINITIS	アレルギー性鼻炎
緑内障（４９才）	緑内障
’０６ＣＡＢＧ	ＣＡＢＧ
アルカリホスファターゼ高値	血中アルカリホスファターゼ高値
左胸に痛み	胸痛
右第２指切創	指の損傷ＮＯＳ
爪の変形	爪変形
左下肢リンパ浮腫	リンパ浮腫
右大腿関節部の痛み	下肢の関節痛
浮腫症	浮腫
軽度の嘔気	嘔気
手指の疼痛	手指痛
リンパ節転移再発	リンパ節転移
歯牙破折歯髄炎	無し
ペニス水疱	陰茎水疱
閉塞性動脈硬化症疑い	閉塞性動脈硬化症
眼球内容物除去術（右）	眼異物除去
プロテインＳ活性低下	プロテインＳ減少
下顎部痛	顎痛
右半身にしびれ	片側感覚鈍麻
前胸部及び大腿部の膨隆疹	膨疹
左腸腰筋内血腫	筋肉内血腫
甲状腺Γ線療法	甲状腺γ線療法
両腕筋肉痛	筋肉痛
ＡＬＴＡによる低侵襲の痔核硬化療法	痔核硬化療法
抜け毛がひどくなった	脱毛症
乾燥	乾燥症
再発（腎細胞癌）	腎細胞癌
ANAPLASTIC ASTROCYTOMA再発	退形成星細胞腫
臍左下部の痛み	左下腹部痛
両上腕部発疹	腕の皮疹
化膿性脊椎炎疑い	感染性脊椎炎
進行性大腸がん	大腸癌
夜間せん妄	夜間譫妄
胃潰瘍の疑い	胃潰瘍
結腸直腸がん	結腸直腸癌
両外耳湿疹	外耳の湿疹（皮疹）
頭皮剥離	局所性表皮剥脱
児頭骨盤不均衡にて帝王切開術	児頭骨盤不均衡
創傷（臀部）	殿部損傷
全身の難治性発疹	全身性発疹
網膜出血（右眼）	網膜出血
Ｐｓｅｕｄｏｃｙｓｔ（左卵巣周囲）	仮性嚢胞
舌と口腔内のあれ	無し
両血管新生緑内障	血管新生緑内障
心房細動（不整脈）	心房細動
皮膚の剥離	皮膚剥離
急性症候性ＤＶＴ	深部静脈血栓症
頭痛，頭重感	頭痛
左大腿骨頚部骨折	大腿骨頚部骨折
消化管運動機能障害	消化管運動障害
合併症の悪化（低カルシウム血症）	低カルシウム血症
中等度歯周炎	歯周炎
ＨＢｓキャリア	Ｂ型肝炎表面抗原キャリアー
消耗性疾患	消耗
左目結膜炎	結膜炎
肝キノウ異常、Ｔ－Ｂｉｌ上昇【Ｔ－Ｂｉｌ上昇】	総ビリルビン増加
切除不能な肝細胞癌	切除不能な肝細胞癌
左腎結石にて左腎摘出術后	腎結石除去
中性脂肪多い	トリグリセリド増加
ⅡＢ型高脂血症	２ｂ型高脂血症
聴神経腫瘍（左小脳橋角部）	小脳橋角部腫瘍
６０ｙ．ｏ～高血圧	高血圧
吻合部腫瘤	腫瘤
咽頭部不快	咽頭不快感
手掌、足底、体幹紅斑	紅斑
腎性貧血症	腎性貧血
左後天性のう胞腎	後天性腎嚢胞
性早熟症	思春期早発症
ＤＭＥ（右眼）	糖尿病性黄斑浮腫
不詳	評価不能の反応
カプセルの問題ＮＯＳ	カプセルの問題
手指の落せつ	手指落屑
Ｓ状結腸狭窄	結腸狭窄
リュウマチ熱	リウマチ熱
腹水の増悪	腹水
右中大脳動脈閉塞	中大脳動脈閉塞
高尿酸血漿	高尿酸血症
直腸癌手術	直腸癌
肝機能検査の異常	肝機能検査異常
総頚動脈狭窄症	頚動脈狭窄
向精神薬悪性症候群	悪性症候群
感冒（咽頭痛、咳嗽、頭痛、関節痛、倦怠感、発熱）【咳嗽】	咳嗽
境界人格障害	境界性パーソナリティ障害
ハウスダストによるアレルギー性鼻炎	アレルギー性鼻炎
肺癌の進行	肺癌
右上腕注射部位反応	注射部位反応
総胆管十二指腸吻合術術後	総胆管十二指腸吻合
陳旧性左下肢深部静脈血栓症	下肢深部静脈血栓症
泌尿器疾患（内容不明）	尿生殖器障害ＮＯＳ
十二指腸潰瘍の既往	十二指腸潰瘍
ＡＳＣ-ＵＳ	意義不明異型扁平上皮細胞
認知症進行	認知症増悪
痛み止め	鎮痛
肺縦隔腫瘍出血	腫瘍出血
合併症病名は確認できず、精神科で処方	精神障害ＮＯＳ
右第三指切創	指の損傷ＮＯＳ
左足かき傷	引っかき傷
左第四指切創	指の損傷ＮＯＳ
顔面のはれ	顔面腫脹
側頭葉神経膠腫	大脳神経膠腫症
甲状腺機能亢進症の術後	甲状腺機能亢進症
右大腿部内側内出血	内出血
脂漏性湿疹（顔）	脂漏性湿疹
脳動脈瘤（クリッピング術後）	脳内動脈瘤クリッピング
術後貧血症	術後貧血
蕁麻疹（不明）	蕁麻疹
Ｔ－Ｂｉｌ値上昇	総ビリルビン増加
陳旧性心内膜下梗塞	陳旧性心筋梗塞
発疹（両手首、両足首）	四肢皮疹
左腎出血	腎出血
運動性多発神経障害	運動性多発ニューロパチー
ＢＩＬ上昇	ビリルビン増加
ｇｒａｄｅ３ｆａｔｉｇｕｅ	疲労
末梢動脈障害	末梢動脈疾患
ワルファリン、アスピリン、クロピドグレルの内服	既知の併用禁忌薬物との併用
ドキドキ	動悸
左大転子部胼胝	胼胝
全身状態の悪化	全身状態低下
蚊に刺されたことによるアレルギー性腫脹	アレルギー性浮腫
腰椎すべり症の悪化	腰椎すべり症
左肺癌	肺癌
下肢のはれ	下肢腫脹
胆のう結石術後	胆石摘出
右殿部掻痒	限局性そう痒
２００３年子宮筋腫にて子宮摘出術	筋腫核出術
カテーテルアブレーション後	心臓アブレーション
頭部真菌	皮膚真菌感染
上位頸椎に発症した硬膜外血腫	脊髄硬膜外血腫
肺がん手術	肺癌
ツベルクリン反応強陽性	ツベルクリン反応陽性
γ－ＧＴＰの上昇	γ－グルタミルトランスフェラーゼ増加
高尿酸血尿（高尿酸血症）	高尿酸血症
ビタミンＢ1欠乏症	ビタミンＢ１欠乏
下肢硬結	皮膚硬結
生理周期の調整	月経周期管理
顔面ラッシュ	顔面発疹
機能性卵巣のう胞	機能性卵巣嚢胞
イレウス様症状	イレウス
１９７９左腎結核→腎摘	腎結核
肺の臓側胸膜下血腫	胸腔内出血
Ｓ４３頃右鎖骨骨折	鎖骨骨折
原因不明の消化管出血	消化管出血
山菜（ふきのとう）アレルギー	植物アレルギー
ちゅうすい炎	虫垂炎
術後腹壁ヘルニア	閉塞を伴う腹部ヘルニア
胸椎転移	脊椎転移
浮腫顔面	顔面浮腫
鼻中隔弯曲修復ＮＯＳ	鼻中隔弯曲修復
両側卵巣嚢腫(子宮内膜症性)	卵巣子宮内膜症
皮下の石灰化（注射部位）	注射部位石灰化
網膜はく離	網膜剥離
Ⅱ型糖尿病	２型糖尿病
眼底点状出血	眼底出血
神経無動作	ニューラプラキシー
声が出にくい	発声困難
左第１、２、５足指切断術	足指切断
軽いめまい	めまい感
苔癬様発疹	苔癬様皮疹
赤沈高値	血沈高値
爪甲損傷	爪損傷
手指の腫脹	指の腫脹
膨隆疹	膨疹
結角膜炎	角結膜炎
副甲状腺自家移植術	副甲状腺手術
左鎖骨下動脈ステント留置	動脈ステント挿入
アキレス腱粘液包炎	アキレス腱滑液包炎
口の苦味	苦味
悪液質の進行	悪液質
顔全体の発赤	顔面発赤
舌の痛み	舌痛
卵巣子宮内膜症性嚢胞	卵巣子宮内膜症
左下肢静脈瘤	下肢静脈瘤
筋肉のけいれんを伴う疼痛	筋痙攣
HCV抗体陽性	抗ＨＣＶ陽性
表皮嚢腫	皮膚嚢腫
下肢ふらつき	ふらふら感
左側顔面痛	顔面痛
メニエール	詳細不明のメニエール病
１／６～尿道炎	尿道炎
骨格筋内血腫（右背筋）	筋肉内血腫
感染性耳介炎	感染性外耳炎
左鎖骨下の違和感	胸部異常感
心房細動発症	心房細動
中垂炎	虫垂炎
ＷＢＣの上昇	ＷＢＣ増加
かかとに痛み	かかと痛
噛まずに飲み込んだ	薬剤の不適切な噛み砕き
縦隔リンパ節転移摘出	リンパ節転移
肝機能検査異常変動（ＡＳＴ上昇、ＡＬＴ上昇）	無し
運動失語	運動性失語症
高ＣＲＰ血症	Ｃ－反応性蛋白検査結果高値
陳旧性脳梗塞による症候性てんかん【症候性てんかん】	症候性てんかん
人格的無責任	無責任
血栓（内頚動脈内より発現）	頚動脈血栓症
過形成ポリープ【胃】	胃過形成性ポリープ
低用量アスピリン投与時の胃潰瘍再発予防	胃腸潰瘍予防
発作性心房細動の頻発	発作性心房細動
気管支動脈造影・塞栓術	経カテーテル動脈塞栓術
腎腫瘍術後	腎腫瘍摘除
頚椎変形	頚椎変性
３２才子宮摘出（子宮内膜症）	子宮内膜症組織アブレーション
湿疹皮膚炎群（顔面）	湿疹性皮膚炎
慢性咽頭痛	咽頭痛
ふわっとした感じ（全身の浮遊感）	身体浮遊感
足がピリピリする感じ	下肢錯感覚
幽門側胃切除	胃切除
水溶性ヨードによるアレルギー	ヨウ素アレルギー
虫垂炎にて手術	虫垂炎
歩行失調	失調性歩行
下腿むくみ	下肢浮腫
大動脈瘤術後状態	大動脈瘤修復
手足症候群の増悪	手足症候群
ばね指	弾発指
顔の潮紅	顔面潮紅
維持療法の必要な難治性逆流性道炎	逆流性食道炎
右腸腰筋膿瘍	筋膿瘍
閉経後骨そそう症	閉経後骨粗鬆症
膵臓全摘出後の糖尿病	糖尿病
下肢・背部湿疹	湿疹
左チョコレートのう腫	卵巣チョコレート嚢胞
肝ＲＦＡ	ラジオ波焼灼療法
骨転移痛	転移部骨痛
閉経後乳癌	乳癌
慢性心不全の増悪	慢性心不全増悪
右不全片麻痺	不全片麻痺（右）
糖尿病性網膜症手術	糖尿病網膜症
赤血球増多(臨床検査変動としての赤血球増加の意である。)	赤血球増加
頚痛	頚部痛
